"sec","date","open","high","low","close","volume","adjusted"
"1",2000-01-03,3.745536,4.017857,3.631696,3.997768,133949200,3.502161
"2",2000-01-04,3.866071,3.950893,3.613839,3.660714,128094400,3.206892
"3",2000-01-05,3.705357,3.948661,3.678571,3.714286,194580400,3.253822
"4",2000-01-06,3.790179,3.821429,3.392857,3.392857,191993200,2.972241
"5",2000-01-07,3.446429,3.607143,3.410714,3.553571,115183600,3.113032
"6",2000-01-10,3.642857,3.651786,3.383929,3.491071,126266000,3.05828
"7",2000-01-11,3.426339,3.549107,3.232143,3.3125,110387200,2.901846
"8",2000-01-12,3.392857,3.410714,3.089286,3.113839,244017200,2.727814
"9",2000-01-13,3.374439,3.526786,3.303571,3.455357,258171200,3.026993
"10",2000-01-14,3.571429,3.651786,3.549107,3.587054,97594000,3.142363
"11",2000-01-18,3.607143,3.785714,3.587054,3.712054,114794400,3.251867
"12",2000-01-19,3.772321,3.883929,3.691964,3.805804,149410800,3.333994
"13",2000-01-20,4.125,4.339286,4.053571,4.053571,457783200,3.551046
"14",2000-01-21,4.080357,4.080357,3.935268,3.975446,123981200,3.482607
"15",2000-01-24,3.872768,4.026786,3.754464,3.794643,110219200,3.324218
"16",2000-01-25,3.75,4.040179,3.65625,4.008929,124286400,3.511938
"17",2000-01-26,3.928571,4.078125,3.919643,3.935268,91789600,3.447409
"18",2000-01-27,3.886161,4.035714,3.821429,3.928571,85036000,3.441542
"19",2000-01-28,3.863839,3.959821,3.59375,3.629464,105837200,3.179516
"20",2000-01-31,3.607143,3.709821,3.375,3.705357,175420000,3.246
"21",2000-02-01,3.714286,3.75,3.571429,3.580357,79508800,3.136497
"22",2000-02-02,3.598214,3.647321,3.464286,3.529018,116048800,3.091522
"23",2000-02-03,3.582589,3.723214,3.580357,3.689732,118798400,3.232312
"24",2000-02-04,3.712054,3.928571,3.700893,3.857143,106330000,3.378969
"25",2000-02-07,3.857143,4.080357,3.783482,4.073661,110266800,3.568645
"26",2000-02-08,4.071429,4.147321,3.973214,4.102679,102160800,3.594066
"27",2000-02-09,4.075893,4.183036,4.015625,4.022321,74841200,3.523669
"28",2000-02-10,4.03125,4.066964,3.928571,4.053571,75745600,3.551046
"29",2000-02-11,4.058036,4.075893,3.866071,3.883929,53062800,3.402435
"30",2000-02-14,3.904018,4.138393,3.879464,4.136161,91884800,3.623397
"31",2000-02-15,4.116071,4.283482,4.113839,4.25,121436000,3.723124
"32",2000-02-16,4.205357,4.21875,4.004464,4.075893,94561600,3.570601
"33",2000-02-17,4.113839,4.125,4.040179,4.102679,72374400,3.594066
"34",2000-02-18,4.09375,4.120536,3.959821,3.973214,58360400,3.480651
"35",2000-02-22,3.933036,4.176339,3.810268,4.064732,105574000,3.560823
"36",2000-02-23,4.044082,4.25,3.964286,4.151786,118274800,3.637085
"37",2000-02-24,4.189732,4.254464,3.991071,4.114397,94108000,3.604331
"38",2000-02-25,4.100446,4.178571,3.933036,3.941964,62286000,3.453276
"39",2000-02-28,3.933036,4.107143,3.870536,4.044643,82082000,3.543224
"40",2000-02-29,4.055804,4.1875,4.020089,4.09375,92240400,3.586244
"41",2000-03-01,4.234375,4.716518,4.232143,4.654018,269250800,4.077056
"42",2000-03-02,4.535714,4.569196,4.310268,4.357143,77814800,3.816984
"43",2000-03-03,4.459821,4.579796,4.285714,4.571429,80841600,4.004705
"44",2000-03-06,4.5,4.611607,4.464286,4.488839,52640000,3.932353
"45",2000-03-07,4.515625,4.551339,4.325893,4.388393,68252800,3.84436
"46",2000-03-08,4.388393,4.426339,4.234375,4.357143,67807600,3.816984
"47",2000-03-09,4.316964,4.464286,4.223214,4.366071,69179600,3.824805
"48",2000-03-10,4.345982,4.569196,4.321429,4.491071,62151600,3.934308
"49",2000-03-13,4.361607,4.517857,4.267857,4.332589,75989200,3.795475
"50",2000-03-14,4.329239,4.4375,4.071429,4.080357,107144800,3.574511
"51",2000-03-15,4.129464,4.294643,4.075893,4.151786,110902400,3.637085
"52",2000-03-16,4.189732,4.357143,4.089286,4.341518,94525200,3.803296
"53",2000-03-17,4.290179,4.464286,4.272321,4.464286,76260800,3.910845
"54",2000-03-20,4.410714,4.508929,4.370536,4.392857,51122400,3.848269
"55",2000-03-21,4.377232,4.883929,4.34375,4.819196,131082000,4.221756
"56",2000-03-22,4.742186,5.15625,4.698661,5.149554,141999200,4.511159
"57",2000-03-23,5.071429,5.370536,5,5.046875,140641200,4.421207
"58",2000-03-24,5.087054,5.140625,4.839286,4.953125,111728400,4.339082
"59",2000-03-27,4.915179,5.169643,4.888393,4.984375,69795600,4.366457
